"song_name","song_popularity","Duration_ms","Acousticness","Danceability","Energy","Instrumentalness","Key","Liveness","Loudness","Audio_mode","Speechiness","Tempo","Time_signature","Audio_valence","binomial"
"00 (DOUBLE O)",43,163279,0.0812,0.904,0.711,0,6,0.0842,-5.426,0,0.315,90.456,4,0.472,1
"02-52-03",21,234133,1.29e-05,0.743,0.955,0.887,7,0.443,-8.395,1,0.0857,149.929,4,0.386,1
"079ME",76,211852,0.404,0.629,0.601,0,10,0.0582,-7.508,0,0.309,199.921,4,0.612,1
"079ME",76,211852,0.404,0.629,0.601,0,10,0.0582,-7.508,0,NA,199.921,4,0.612,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,1
"1, 2, 3!",67,205304,0.00396,0.687,0.805,2.09e-06,6,0.12,-4.668,1,0.0403,142.038,4,0.712,1
"10 2 10",26,202120,0.15,0.632,0.908,0,1,0.207,-4.499,1,0.1,114.003,4,0.258,1
"10 Feet Down",24,217106,0.0862,0.471,0.846,1.19e-05,5,0.271,-6.59,1,0.272,191.982,4,0.0717,1
"10:15 Saturday Night",37,223773,0.00366,0.656,0.279,0.0282,0,NA,-17.282,1,0.13,174.1,4,0.325,1
"100 Days, 100 Nights",2,223213,0.529,0.445,NA,0,9,0.373,-5.96,0,NA,109.246,4,0.674,1
"100 Degrees (feat. Quinn XCII)",0,251250,0.0206,0.712,NA,0.000294,7,0.116,-4.144,1,0.0581,111.944,4,0.451,1
"100 Miles and Running (ft. Wale & John Lindahl)",78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,1
"100 Miles and Running (ft. Wale & John Lindahl)",78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,1
"100 Miles and Running (ft. Wale & John Lindahl)",78,NA,0.556,0.844,0.935,NA,7,0.42,NA,1,0.0641,118.999,4,0.958,1
"100 Miles and Running (ft. Wale & John Lindahl)",78,353453,0.556,0.844,0.935,0,7,0.42,-3.585,1,0.0641,118.999,4,0.958,1
"100% Feminista",48,199500,0.348,0.795,0.864,0,1,0.0717,-3.095,1,0.251,130.017,4,0.781,1
"1000 (feat. T.I. & Trey Songz)",41,254615,0.0118,0.64,0.602,0,10,0.192,-6.701,0,0.276,82.17,4,0.297,1
"1000 Nights",63,240293,0.0315,0.594,0.709,0.0562,6,0.0738,-9.541,0,0.0377,90.001,4,0.587,1
"1000hp",54,226540,4.36e-05,0.52,0.948,1.41e-05,6,0.0525,-3.951,0,0.0515,92.091,4,0.471,1
"1017 (feat. Gucci Mane & Yung Mal)",36,243252,0.466,0.813,0.593,NA,1,0.185,-8.604,1,0.176,74.982,NA,0.626,1
"1017 (feat. Young Thug)",40,180080,0.00368,0.879,0.388,0,1,0.108,-9.409,1,0.468,160.017,4,0.534,1
"11:11 - Radio Edit",45,198204,0.00025,0.314,0.756,0.28,6,0.288,-5.875,1,0.0632,94.835,4,0.926,1
"11th Dimension",37,243706,NA,0.603,0.911,0.00985,6,0.0911,-3.883,0,0.0431,125.487,4,NA,1
"151 Rum",77,156695,NA,0.73,NA,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,1
"151 Rum",77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,1
"151 Rum",77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,1
"151 Rum",77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,1
"151 Rum",77,156695,0.199,NA,0.86,0.00182,7,0.322,-3.532,1,0.191,NA,4,0.647,1
"151 Rum",77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647,1
"16 Days",36,234213,0.242,NA,0.741,0,0,0.0874,-5.842,1,0.0537,127.467,4,0.404,1
"17 - 6am Remix",65,263887,0.00393,0.71,0.625,0.471,8,0.318,-8.331,1,NA,120.023,4,0.139,1
"17 - 6am Remix",65,263887,0.00393,0.71,0.625,0.471,8,0.318,-8.331,1,0.0346,120.023,4,0.139,1
"18 And Life",60,231280,0.000384,0.457,0.794,NA,NA,0.131,-6.624,0,0.0298,90.439,4,0.354,1
"18 And Life",60,231280,0.000384,0.457,0.794,7.26e-05,1,NA,-6.624,0,0.0298,90.439,4,0.354,1
"1-800-273-8255",86,250173,0.57,0.62,0.574,0,NA,0.19,-7.788,0,0.0479,NA,4,0.352,1
"1-800-273-8255",86,250173,0.57,0.62,0.574,0,5,0.19,-7.788,0,0.0479,NA,4,0.352,1
"1-800-273-8255",86,250173,0.57,0.62,0.574,0,5,NA,-7.788,0,0.0479,100.021,4,0.352,1
"1-800-273-8255",86,250173,0.57,0.62,0.574,0,5,0.19,-7.788,0,0.0479,100.021,4,0.352,1
"1-800-273-8255",8,250200,0.56,NA,0.593,NA,5,0.175,-7.755,0,0.0414,100.048,4,0.369,1
"19 You + Me - Live Acoustic Bonus Track",51,221706,0.571,0.416,0.422,0,6,0.161,-8.11,1,0.0279,150.607,3,0.703,1
"193rd St.",35,126352,0.00427,0.641,0.697,0.678,10,0.289,-11.184,0,0.0477,122.042,4,0.35,1
"1952 Vincent Black Lightning",55,283493,0.374,0.488,0.209,5.05e-06,10,0.103,-19.549,1,NA,120.63,4,0.362,1
"1960 What?",22,747222,0.515,0.511,0.505,6.26e-05,3,0.114,-10.773,1,0.0421,119.292,4,0.622,1
"1979 - Remastered 2012",76,266200,0.0166,0.765,0.788,0.588,3,NA,-9.896,1,NA,126.879,4,0.964,1
"1979 - Remastered 2012",47,266200,0.0166,0.765,0.788,0.588,3,0.0513,-9.896,1,0.0332,126.879,4,0.964,1
"1985 - Intro to “The Fall Off”",75,190176,0.147,0.678,0.648,0,2,0.182,NA,1,0.445,94.336,4,0.635,1
"1999 WILDFIRE",75,251250,0.253,0.811,NA,0,5,0.148,-8.093,1,0.129,128.066,4,0.814,1
"1am",77,163954,0.0038,0.901,0.65,0,2,0.111,-4.137,1,0.0981,100.298,4,0.295,1
"1luv",15,283735,0.00105,0.455,0.805,0.603,11,0.101,-7.272,0,0.127,162.889,4,0.24,1
"1Take (Naija to London)",64,283898,NA,0.771,0.705,0,8,0.123,NA,0,0.192,103.959,4,0.46,1
"2 MUCH (feat. 24hrs) (feat. 24hrs)",67,182400,0.0657,0.642,0.933,1.04e-05,4,0.087,-2.887,0,0.0871,150.039,4,0.158,1
"2 The Hard Way",38,174813,NA,0.653,0.596,0,0,0.135,-7.608,1,0.238,150.008,4,0.145,1
"2 Tone Drip",72,-181538,0.192,0.857,0.767,0,NA,0.16,-4.794,0,0.443,149.954,4,0.574,1
"2 Vaults (feat. Lil Yachty)",71,210000,0.264,0.921,0.586,0,8,0.119,-7.77,1,0.406,96.042,4,0.657,1
"2 Vaults (feat. Lil Yachty)",71,210000,0.264,0.921,0.586,0,8,0.119,-7.77,1,0.406,96.042,4,0.657,1
"2/3's Adventure",50,505323,0.656,0.477,0.721,0.0451,0,0.629,-7.192,0,0.0523,116.277,4,NA,1
"2002 - KREAM Remix",59,163125,NA,0.756,0.887,0.0126,6,0.118,-4.131,0,0.13,122.958,4,0.246,1
"20th Century Boy - 2012 Remaster",49,218665,0.00144,0.426,0.954,0,9,0.149,-6.121,1,0.0474,135.302,NA,0.721,1
"21st Century Schizoid Man - Written By King Crimson",3,254746,0.012,0.213,NA,0.673,0,0.102,-7.611,1,0.0495,145.553,4,0.492,1
"24 Hour Party People",5,279959,0.000281,0.631,0.861,0.000276,4,0.0612,-8.315,0,0.0514,126.647,4,0.818,1
"24K Magic",81,225983,0.034,0.818,0.803,0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,1
"25 Soldiers",54,287557,0.207,0.533,0.876,0,1,0.857,-4.041,1,0.324,76,4,0.119,1
"2AM.",63,237653,0.0523,0.849,0.521,0,4,0.277,-6.386,1,0.0662,102.011,NA,0.613,1
"2Sum",40,145632,0.00914,0.833,NA,0,7,0.0717,-7.026,1,0.202,138.179,4,0.338,1
"3 Nights",40,NA,0.223,0.815,0.518,0,7,NA,-6.594,0,0.0897,151.891,4,0.877,1
"3 Nights",40,177666,0.223,0.815,0.518,0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,1
"3 Nights",40,177666,0.223,0.815,0.518,0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,1
"3 Nights",40,177666,0.223,0.815,0.518,0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,1
"3 Nights",40,177666,0.223,0.815,0.518,0,7,0.104,NA,0,0.0897,151.891,4,0.877,1
"3 x 11",43,219795,0.316,0.755,0.613,0,4,0.0935,-5.029,0,0.318,98.029,4,0.923,1
"31 DAYS",72,240682,0.267,0.875,0.644,0,1,0.125,-6.554,1,0.222,139.086,4,0.788,1
"3AM (feat. YoungBoy Never Broke Again & Cashmere Cat)",44,184923,0.151,0.758,0.491,0,7,0.111,-7.455,0,0.0757,129.96,4,0.263,1
"3PM Coffee",31,125478,NA,0.49,0.0921,0.954,3,0.108,-22.456,0,0.0435,101.538,4,0.118,1
"3's & 7's",44,213000,0.0786,0.425,0.99,NA,1,0.521,-3.878,1,0.113,131.333,4,0.436,1
"4 1 Nite",45,205296,0.158,0.624,0.678,0,8,0.376,-4.393,1,0.382,63.983,4,0.637,1
"4 Gold Chains - (feat. Clams Casino)",69,209106,0.853,0.313,0.426,0.00037,8,0.181,-9.049,1,0.0435,95.159,4,0.107,1
"4 Lit",53,203833,0.0414,0.812,0.402,0,1,0.0998,-6.594,1,0.0697,85.044,4,0.261,1
"4 Minutes (feat. Justin Timberlake & Timbaland)",72,189693,0.00994,0.753,0.931,0.00696,2,0.234,-4.922,1,0.0652,113.029,4,0.767,1
"4:21 (Con María)",18,234500,NA,NA,0.473,0.43,7,0.128,-11.013,0,0.114,122.012,4,NA,1
"4:21 (Con María)",18,234500,0.247,0.805,0.473,NA,7,0.128,-11.013,0,0.114,122.012,4,0.226,1
"40K",70,216842,0.106,0.746,0.587,2.99e-05,7,0.187,-8.172,0,0.17,134.992,4,0.203,1
"44 (feat. Yaro)",63,230920,0.0837,0.739,0.548,0,0,0.141,-7.979,1,0.0494,129.995,4,0.278,1
"44 More",27,188613,0.0717,0.818,0.572,0,1,0.101,-7.085,1,0.228,139.968,4,0.236,1
"44 More",27,188613,0.0717,0.818,0.572,0,1,0.101,-7.085,1,0.228,139.968,4,0.236,1
"47 - Remix",70,517809,0.248,0.711,0.699,0,6,0.254,-4.891,1,0.193,146.016,4,0.376,1
"4am",59,176043,0.0696,NA,0.58,0,8,0.27,-3.846,1,0.0562,155.973,4,0.372,1
"4am",43,63697,0.923,0.569,0.415,NA,3,0.122,-8.796,0,0.0289,140.1,4,0.537,1
"4AM In London",38,188664,NA,0.534,0.445,7.25e-05,7,0.116,-9.617,0,0.0351,156.01,4,0.0828,1
"5 Letras",65,196573,0.217,0.815,0.768,1.69e-06,6,0.0632,-6.276,0,0.171,93.971,4,0.667,1
"5 Years Time",59,214920,0.335,0.8,0.559,0,0,0.148,-7.11,1,NA,121.967,4,0.788,1
"500 Miles Away from Home",47,162506,0.659,0.519,0.374,6.88e-06,7,0.644,-13.115,1,0.0314,109.253,4,0.521,1
"53 Sundays",56,222318,0.00454,0.536,0.695,0,11,0.116,-6.196,0,NA,153.727,4,0.245,1
"6 Beers",47,166228,0.178,0.64,0.843,0,10,0.0886,NA,0,0.225,93.083,4,0.926,1
"6 Figures",60,164341,0.135,0.888,0.537,5.12e-06,1,0.0747,-7.297,0,0.257,77.506,4,0.422,1
"6 Figures",55,2e+05,0.0061,0.885,0.737,0,1,0.592,-6.468,1,0.0677,89.977,4,0.496,1
"6 'N The Mornin'",47,224866,1.00282,0.823,0.745,0.000332,5,0.323,-6.637,0,0.247,NA,4,0.58,1
"6 Underground",55,228840,0.0319,0.587,0.678,0.16,NA,0.116,-8.651,0,0.0524,169.947,4,0.429,1
"6am",53,123000,0.8,0.745,0.265,0.959,11,0.0717,-10.678,1,0.0708,88.477,4,0.422,1
"6ix Flags",44,222400,0.0791,0.659,0.615,0,2,0.172,-9.232,1,0.327,149.877,4,0.589,1
"7 Am Freestyle",0,192906,0.0185,0.951,NA,NA,NA,0.149,-8.92,0,0.411,129.976,4,0.539,1
"7 Days",73,235133,0.23,0.659,0.812,0,4,0.0951,-7.499,0,0.0487,83.013,4,0.888,1
"7 Inches",35,206491,0.446,0.768,0.417,0.00561,9,0.335,-10.246,0,0.0494,97.985,4,0.417,1
"7 Squids (feat. R. Kelly)",57,278655,0.284,NA,0.385,2.33e-06,8,0.124,-9.177,1,0.239,157.003,4,0.173,1
"7 Years",22,237300,0.287,0.765,0.473,NA,10,0.391,-5.829,1,0.0514,NA,4,0.34,1
"70s",49,NA,0.012,0.78,0.627,0.000347,2,0.106,-12.093,1,0.0821,111.069,4,0.275,1
"75, Brazil Street (Radio Mix) - Nicola Fasano Vs Pat-Rich",48,187402,0.00616,0.898,0.593,0.904,9,0.276,-6.211,0,0.0615,127.013,4,0.419,1
"8 Letters",72,190026,0.649,0.607,0.478,0,1,0.0928,-5.702,0,0.031,88.979,4,0.255,1
"8 Letters",72,190026,-0.351,0.607,0.478,0,1,0.0928,-5.702,0,0.031,88.979,4,0.255,1
"8 Letters - R3HAB Remix",56,132232,0.24,0.638,0.708,0,1,0.311,-5.001,0,0.0421,103.16,4,0.582,1
"80s Baby - feat. Salt-N-Pepa, Naughty By Nature, Tiffany, Debbie Gibson",52,217043,0.119,0.764,0.885,0,7,0.109,-4.274,0,0.143,104.049,4,0.746,1
"836 East",33,156734,NA,0.858,0.55,0,7,0.0983,NA,1,0.181,98.064,4,0.437,1
"86 (feat. Cuban Doll & ALLBLACK)",46,189230,0.0356,0.904,0.68,0,10,0.311,-8.265,0,0.273,104.095,4,0.517,1
"86 (feat. Cuban Doll & ALLBLACK)",46,189230,0.0356,0.904,0.68,0,10,0.311,-8.265,0,0.273,104.095,4,0.517,1
"9 to 5",75,162466,0.416,0.554,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813,1
"9 to 5",75,162466,0.416,0.554,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813,1
"9 to 5",75,162466,0.416,0.554,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813,1
"9 to 5",75,162466,0.416,0.554,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813,1
"9 to 5",47,216754,0.547,0.718,0.45,0.00817,6,0.103,-12.02,1,0.224,167.982,4,0.244,1
"90s Better",50,168000,0.0702,0.714,0.986,0.255,1,0.128,-2.565,1,0.0989,128.039,4,0.678,1
"90's Country",70,172133,0.163,0.738,0.718,0,1,0.207,-5.777,0,0.0414,125.047,4,0.685,1
"93 'Til Infinity",67,286440,0.125,0.59,0.672,1.04e-06,1,0.147,-11.792,1,NA,206.247,4,0.688,1
"93 'Til Infinity",67,NA,0.125,0.59,0.672,1.04e-06,1,NA,-11.792,1,0.412,206.247,4,0.688,1
"96 Tears",30,177426,0.0586,0.68,0.507,6.49e-06,7,0.0754,-5.929,1,0.0336,123.47,4,0.854,1
"96 Tears",30,177426,0.0586,0.68,0.507,6.49e-06,7,0.0754,-5.929,1,0.0336,123.47,4,0.854,1
"97'",51,214729,0.0854,0.653,0.819,1.75e-05,6,0.0779,-5.302,1,0.161,146.096,NA,0.679,1
"99 Luftballons",72,233000,0.089,0.466,0.438,5.62e-06,4,0.113,-12.858,1,NA,193.1,4,0.587,1
"99 Luftballons",58,231466,0.0915,0.636,0.467,1.7e-06,4,0.117,-10.1,1,0.0421,96.639,4,0.58,1
"99 Pace",23,197147,NA,0.661,0.783,0.895,11,0.307,-8.987,1,0.0425,139.966,4,0.0689,1
"99 Pace",0,197147,0.0412,0.661,NA,NA,11,0.307,-8.987,1,0.0425,139.966,4,NA,1
"99 Problems",6,235466,0.00782,0.482,0.955,0,6,0.0599,-0.905,0,0.382,89.422,4,0.509,1
"9Am",46,252024,0.0113,0.527,0.914,0.908,7,0.0933,-3.423,1,0.0475,127.957,4,0.522,1
"A Boy Named Sue - Live Version",47,225266,0.758,0.688,0.445,0,10,0.71,-11.974,1,0.198,101.636,4,0.92,1
"A Casual Look",36,147563,0.699,0.356,0.483,0,7,0.191,-6.153,0,0.0542,204.968,3,0.66,1
"A Catalogue Of Afternoons",72,110880,0.996,0.124,0.0924,0.848,11,0.0935,-31.726,1,0.0412,205.999,5,0.135,1
"A Change Is Gonna Come",65,191160,0.76,0.212,0.42,0,10,0.307,-9.919,1,0.0344,169.555,3,0.493,1
"A Change Is Gonna Come - Recorded At Spotify Studios NYC",50,255320,0.633,0.464,NA,0,7,0.0943,-11.478,0,0.0325,136.013,3,0.346,1
"A Clear Mind",68,173696,0.992,0.268,0.0058,0.929,NA,NA,-31.607,1,0.0466,69.709,3,0.126,1
"A Corazón Abierto",31,298133,0.732,0.65,0.846,0.00161,0,0.26,-3.474,1,0.0386,176.049,4,0.848,1
"A Crime To Remember",61,202761,0.011,0.551,0.914,6.09e-05,7,0.321,-4.147,0,0.0934,129.803,4,0.419,1
"A Design for Life - Remastered",59,257640,0.000827,0.184,0.841,4.34e-05,0,0.0422,-4.723,1,0.0468,88.225,4,0.348,1
"A donde va el amor",34,200867,0.202,0.586,0.663,0,6,0.193,-4.085,0,0.0284,138.035,4,0.495,1
